iteration,expected_ns,actual_ns,jitter_ns
0,1244928616315634,1244928616327392,11758
1,1244928716315634,1244928716321913,6279
2,1244928816315634,1244928816326781,11147
3,1244928916315634,1244928916326913,11279
4,1244929016315634,1244929016326723,11089
5,1244929116315634,1244929116326909,11275
6,1244929216315634,1244929216325191,9557
7,1244929316315634,1244929316324498,8864
8,1244929416315634,1244929416326707,11073
9,1244929516315634,1244929516326706,11072
10,1244929616315634,1244929616326857,11223
11,1244929716315634,1244929716322342,6708
12,1244929816315634,1244929816326546,10912
13,1244929916315634,1244929916325014,9380
14,1244930016315634,1244930016327007,11373
15,1244930116315634,1244930116326801,11167
16,1244930216315634,1244930216326784,11150
17,1244930316315634,1244930316326790,11156
18,1244930416315634,1244930416326716,11082
19,1244930516315634,1244930516326327,10693
20,1244930616315634,1244930616326470,10836
21,1244930716315634,1244930716326484,10850
22,1244930816315634,1244930816326867,11233
23,1244930916315634,1244930916326601,10967
24,1244931016315634,1244931016326594,10960
25,1244931116315634,1244931116326643,11009
26,1244931216315634,1244931216327006,11372
27,1244931316315634,1244931316326160,10526
28,1244931416315634,1244931416326469,10835
29,1244931516315634,1244931516326239,10605
30,1244931616315634,1244931616325556,9922
31,1244931716315634,1244931716326606,10972
32,1244931816315634,1244931816326483,10849
33,1244931916315634,1244931916326353,10719
34,1244932016315634,1244932016335440,19806
35,1244932116315634,1244932116326408,10774
36,1244932216315634,1244932216326756,11122
37,1244932316315634,1244932316326470,10836
38,1244932416315634,1244932416325892,10258
39,1244932516315634,1244932516326687,11053
40,1244932616315634,1244932616325309,9675
41,1244932716315634,1244932716326672,11038
42,1244932816315634,1244932816326601,10967
43,1244932916315634,1244932916326604,10970
44,1244933016315634,1244933016326573,10939
45,1244933116315634,1244933116326638,11004
46,1244933216315634,1244933216325479,9845
47,1244933316315634,1244933316326673,11039
48,1244933416315634,1244933416326800,11166
49,1244933516315634,1244933516326563,10929
50,1244933616315634,1244933616325264,9630
51,1244933716315634,1244933716326472,10838
52,1244933816315634,1244933816326669,11035
53,1244933916315634,1244933916326453,10819
54,1244934016315634,1244934016326578,10944
55,1244934116315634,1244934116325682,10048
56,1244934216315634,1244934216326308,10674
57,1244934316315634,1244934316326690,11056
58,1244934416315634,1244934416326779,11145
59,1244934516315634,1244934516325653,10019
60,1244934616315634,1244934616326399,10765
61,1244934716315634,1244934716326491,10857
62,1244934816315634,1244934816326618,10984
63,1244934916315634,1244934916326555,10921
64,1244935016315634,1244935016326484,10850
65,1244935116315634,1244935116326781,11147
66,1244935216315634,1244935216326920,11286
67,1244935316315634,1244935316326541,10907
68,1244935416315634,1244935416326924,11290
69,1244935516315634,1244935516325494,9860
70,1244935616315634,1244935616326314,10680
71,1244935716315634,1244935716336578,20944
72,1244935816315634,1244935816326516,10882
73,1244935916315634,1244935916326485,10851
74,1244936016315634,1244936016326533,10899
75,1244936116315634,1244936116326432,10798
76,1244936216315634,1244936216326917,11283
77,1244936316315634,1244936316326649,11015
78,1244936416315634,1244936416326777,11143
79,1244936516315634,1244936516326308,10674
80,1244936616315634,1244936616325582,9948
81,1244936716315634,1244936716326476,10842
82,1244936816315634,1244936816325520,9886
83,1244936916315634,1244936916326755,11121
84,1244937016315634,1244937016326621,10987
85,1244937116315634,1244937116326679,11045
86,1244937216315634,1244937216326708,11074
87,1244937316315634,1244937316326572,10938
88,1244937416315634,1244937416326841,11207
89,1244937516315634,1244937516326556,10922
90,1244937616315634,1244937616325503,9869
91,1244937716315634,1244937716326752,11118
92,1244937816315634,1244937816325657,10023
93,1244937916315634,1244937916326871,11237
94,1244938016315634,1244938016325519,9885
95,1244938116315634,1244938116326738,11104
96,1244938216315634,1244938216326204,10570
97,1244938316315634,1244938316326775,11141
98,1244938416315634,1244938416326831,11197
99,1244938516315634,1244938516326872,11238
100,1244938616315634,1244938616325532,9898
101,1244938716315634,1244938716326841,11207
102,1244938816315634,1244938816325557,9923
103,1244938916315634,1244938916326655,11021
104,1244939016315634,1244939016326664,11030
105,1244939116315634,1244939116325536,9902
106,1244939216315634,1244939216326734,11100
107,1244939316315634,1244939316325675,10041
108,1244939416315634,1244939416327046,11412
109,1244939516315634,1244939516325650,10016
110,1244939616315634,1244939616326140,10506
111,1244939716315634,1244939716326577,10943
112,1244939816315634,1244939816326318,10684
113,1244939916315634,1244939916326588,10954
114,1244940016315634,1244940016326391,10757
115,1244940116315634,1244940116326428,10794
116,1244940216315634,1244940216326716,11082
117,1244940316315634,1244940316326525,10891
118,1244940416315634,1244940416326522,10888
119,1244940516315634,1244940516326762,11128
120,1244940616315634,1244940616326459,10825
121,1244940716315634,1244940716325677,10043
122,1244940816315634,1244940816326679,11045
123,1244940916315634,1244940916325615,9981
124,1244941016315634,1244941016326635,11001
125,1244941116315634,1244941116325599,9965
126,1244941216315634,1244941216326618,10984
127,1244941316315634,1244941316325307,9673
128,1244941416315634,1244941416326818,11184
129,1244941516315634,1244941516325576,9942
130,1244941616315634,1244941616326742,11108
131,1244941716315634,1244941716326472,10838
132,1244941816315634,1244941816326410,10776
133,1244941916315634,1244941916326414,10780
134,1244942016315634,1244942016326684,11050
135,1244942116315634,1244942116326826,11192
136,1244942216315634,1244942216326670,11036
137,1244942316315634,1244942316326697,11063
138,1244942416315634,1244942416326055,10421
139,1244942516315634,1244942516326596,10962
140,1244942616315634,1244942616325592,9958
141,1244942716315634,1244942716326571,10937
142,1244942816315634,1244942816325501,9867
143,1244942916315634,1244942916326653,11019
144,1244943016315634,1244943016326746,11112
145,1244943116315634,1244943116326687,11053
146,1244943216315634,1244943216325645,10011
147,1244943316315634,1244943316326650,11016
148,1244943416315634,1244943416326193,10559
149,1244943516315634,1244943516326509,10875
150,1244943616315634,1244943616326099,10465
151,1244943716315634,1244943716326826,11192
152,1244943816315634,1244943816326386,10752
153,1244943916315634,1244943916326843,11209
154,1244944016315634,1244944016326370,10736
155,1244944116315634,1244944116326458,10824
156,1244944216315634,1244944216326257,10623
157,1244944316315634,1244944316326451,10817
158,1244944416315634,1244944416326911,11277
159,1244944516315634,1244944516325601,9967
160,1244944616315634,1244944616325527,9893
161,1244944716315634,1244944716325675,10041
162,1244944816315634,1244944816326573,10939
163,1244944916315634,1244944916326682,11048
164,1244945016315634,1244945016329147,13513
165,1244945116315634,1244945116327871,12237
166,1244945216315634,1244945216327740,12106
167,1244945316315634,1244945316325722,10088
168,1244945416315634,1244945416326477,10843
169,1244945516315634,1244945516325852,10218
170,1244945616315634,1244945616326765,11131
171,1244945716315634,1244945716326699,11065
172,1244945816315634,1244945816326729,11095
173,1244945916315634,1244945916326854,11220
174,1244946016315634,1244946016326334,10700
175,1244946116315634,1244946116326764,11130
176,1244946216315634,1244946216326682,11048
177,1244946316315634,1244946316326734,11100
178,1244946416315634,1244946416326718,11084
179,1244946516315634,1244946516326844,11210
180,1244946616315634,1244946616326671,11037
181,1244946716315634,1244946716326697,11063
182,1244946816315634,1244946816326447,10813
183,1244946916315634,1244946916326479,10845
184,1244947016315634,1244947016326616,10982
185,1244947116315634,1244947116326667,11033
186,1244947216315634,1244947216326572,10938
187,1244947316315634,1244947316325473,9839
188,1244947416315634,1244947416325982,10348
189,1244947516315634,1244947516325497,9863
190,1244947616315634,1244947616325336,9702
191,1244947716315634,1244947716326866,11232
192,1244947816315634,1244947816326464,10830
193,1244947916315634,1244947916326512,10878
194,1244948016315634,1244948016325457,9823
195,1244948116315634,1244948116326683,11049
196,1244948216315634,1244948216326337,10703
197,1244948316315634,1244948316326482,10848
198,1244948416315634,1244948416326633,10999
199,1244948516315634,1244948516325609,9975
200,1244948616315634,1244948616325412,9778
201,1244948716315634,1244948716325541,9907
202,1244948816315634,1244948816325612,9978
203,1244948916315634,1244948916326665,11031
204,1244949016315634,1244949016326506,10872
205,1244949116315634,1244949116326730,11096
206,1244949216315634,1244949216326591,10957
207,1244949316315634,1244949316326526,10892
208,1244949416315634,1244949416326764,11130
209,1244949516315634,1244949516326627,10993
210,1244949616315634,1244949616326538,10904
211,1244949716315634,1244949716326783,11149
212,1244949816315634,1244949816326499,10865
213,1244949916315634,1244949916326646,11012
214,1244950016315634,1244950016326333,10699
215,1244950116315634,1244950116326754,11120
216,1244950216315634,1244950216326917,11283
217,1244950316315634,1244950316326765,11131
218,1244950416315634,1244950416326761,11127
219,1244950516315634,1244950516326723,11089
220,1244950616315634,1244950616326519,10885
221,1244950716315634,1244950716326831,11197
222,1244950816315634,1244950816326730,11096
223,1244950916315634,1244950916326415,10781
224,1244951016315634,1244951016326569,10935
225,1244951116315634,1244951116326554,10920
226,1244951216315634,1244951216326689,11055
227,1244951316315634,1244951316325563,9929
228,1244951416315634,1244951416326146,10512
229,1244951516315634,1244951516325572,9938
230,1244951616315634,1244951616325422,9788
231,1244951716315634,1244951716326750,11116
232,1244951816315634,1244951816325437,9803
233,1244951916315634,1244951916326617,10983
234,1244952016315634,1244952016325606,9972
235,1244952116315634,1244952116326709,11075
236,1244952216315634,1244952216326380,10746
237,1244952316315634,1244952316326507,10873
238,1244952416315634,1244952416325865,10231
239,1244952516315634,1244952516325501,9867
240,1244952616315634,1244952616325462,9828
241,1244952716315634,1244952716325494,9860
242,1244952816315634,1244952816325454,9820
243,1244952916315634,1244952916325587,9953
244,1244953016315634,1244953016325378,9744
245,1244953116315634,1244953116325499,9865
246,1244953216315634,1244953216325468,9834
247,1244953316315634,1244953316326487,10853
248,1244953416315634,1244953416325847,10213
249,1244953516315634,1244953516325606,9972
250,1244953616315634,1244953616325440,9806
251,1244953716315634,1244953716326566,10932
252,1244953816315634,1244953816325492,9858
253,1244953916315634,1244953916325602,9968
254,1244954016315634,1244954016325450,9816
255,1244954116315634,1244954116325553,9919
256,1244954216315634,1244954216326435,10801
257,1244954316315634,1244954316326540,10906
258,1244954416315634,1244954416326974,11340
259,1244954516315634,1244954516325593,9959
260,1244954616315634,1244954616326670,11036
261,1244954716315634,1244954716326231,10597
262,1244954816315634,1244954816326568,10934
263,1244954916315634,1244954916326853,11219
264,1244955016315634,1244955016326624,10990
265,1244955116315634,1244955116326592,10958
266,1244955216315634,1244955216326572,10938
267,1244955316315634,1244955316326389,10755
268,1244955416315634,1244955416325979,10345
269,1244955516315634,1244955516325336,9702
270,1244955616315634,1244955616325567,9933
271,1244955716315634,1244955716326719,11085
272,1244955816315634,1244955816326204,10570
273,1244955916315634,1244955916325480,9846
274,1244956016315634,1244956016321876,6242
275,1244956116315634,1244956116326762,11128
276,1244956216315634,1244956216326520,10886
277,1244956316315634,1244956316326480,10846
278,1244956416315634,1244956416326715,11081
279,1244956516315634,1244956516325525,9891
280,1244956616315634,1244956616325346,9712
281,1244956716315634,1244956716324103,8469
282,1244956816315634,1244956816325614,9980
283,1244956916315634,1244956916325444,9810
284,1244957016315634,1244957016325533,9899
285,1244957116315634,1244957116325376,9742
286,1244957216315634,1244957216325415,9781
287,1244957316315634,1244957316325367,9733
288,1244957416315634,1244957416326882,11248
289,1244957516315634,1244957516325449,9815
290,1244957616315634,1244957616325486,9852
291,1244957716315634,1244957716326561,10927
292,1244957816315634,1244957816325557,9923
293,1244957916315634,1244957916325618,9984
294,1244958016315634,1244958016326386,10752
295,1244958116315634,1244958116326602,10968
296,1244958216315634,1244958216326537,10903
297,1244958316315634,1244958316326740,11106
298,1244958416315634,1244958416326697,11063
299,1244958516315634,1244958516325712,10078
300,1244958616315634,1244958616325491,9857
301,1244958716315634,1244958716326430,10796
302,1244958816315634,1244958816325290,9656
303,1244958916315634,1244958916325457,9823
304,1244959016315634,1244959016325249,9615
305,1244959116315634,1244959116325456,9822
306,1244959216315634,1244959216325395,9761
307,1244959316315634,1244959316325780,10146
308,1244959416315634,1244959416326542,10908
309,1244959516315634,1244959516325442,9808
310,1244959616315634,1244959616325293,9659
311,1244959716315634,1244959716326568,10934
312,1244959816315634,1244959816326235,10601
313,1244959916315634,1244959916325474,9840
314,1244960016315634,1244960016326370,10736
315,1244960116315634,1244960116326608,10974
316,1244960216315634,1244960216326426,10792
317,1244960316315634,1244960316326563,10929
318,1244960416315634,1244960416326521,10887
319,1244960516315634,1244960516325428,9794
320,1244960616315634,1244960616325345,9711
321,1244960716315634,1244960716325538,9904
322,1244960816315634,1244960816325407,9773
323,1244960916315634,1244960916325571,9937
324,1244961016315634,1244961016326613,10979
325,1244961116315634,1244961116325455,9821
326,1244961216315634,1244961216326623,10989
327,1244961316315634,1244961316325530,9896
328,1244961416315634,1244961416325809,10175
329,1244961516315634,1244961516326400,10766
330,1244961616315634,1244961616325530,9896
331,1244961716315634,1244961716326521,10887
332,1244961816315634,1244961816326148,10514
333,1244961916315634,1244961916325462,9828
334,1244962016315634,1244962016326295,10661
335,1244962116315634,1244962116326531,10897
336,1244962216315634,1244962216326409,10775
337,1244962316315634,1244962316326649,11015
338,1244962416315634,1244962416326594,10960
339,1244962516315634,1244962516326500,10866
340,1244962616315634,1244962616326311,10677
341,1244962716315634,1244962716326189,10555
342,1244962816315634,1244962816326171,10537
343,1244962916315634,1244962916325480,9846
344,1244963016315634,1244963016326655,11021
345,1244963116315634,1244963116325513,9879
346,1244963216315634,1244963216326551,10917
347,1244963316315634,1244963316325377,9743
348,1244963416315634,1244963416326779,11145
349,1244963516315634,1244963516326759,11125
350,1244963616315634,1244963616326212,10578
351,1244963716315634,1244963716326785,11151
352,1244963816315634,1244963816325392,9758
353,1244963916315634,1244963916325626,9992
354,1244964016315634,1244964016326316,10682
355,1244964116315634,1244964116326649,11015
356,1244964216315634,1244964216325482,9848
357,1244964316315634,1244964316326556,10922
358,1244964416315634,1244964416326701,11067
359,1244964516315634,1244964516326649,11015
360,1244964616315634,1244964616325250,9616
361,1244964716315634,1244964716325363,9729
362,1244964816315634,1244964816325381,9747
363,1244964916315634,1244964916325396,9762
364,1244965016315634,1244965016326591,10957
365,1244965116315634,1244965116326652,11018
366,1244965216315634,1244965216326634,11000
367,1244965316315634,1244965316325383,9749
368,1244965416315634,1244965416325718,10084
369,1244965516315634,1244965516325415,9781
370,1244965616315634,1244965616326314,10680
371,1244965716315634,1244965716326704,11070
372,1244965816315634,1244965816326407,10773
373,1244965916315634,1244965916325518,9884
374,1244966016315634,1244966016326504,10870
375,1244966116315634,1244966116326740,11106
376,1244966216315634,1244966216326521,10887
377,1244966316315634,1244966316326783,11149
378,1244966416315634,1244966416327066,11432
379,1244966516315634,1244966516325628,9994
380,1244966616315634,1244966616326486,10852
381,1244966716315634,1244966716326438,10804
382,1244966816315634,1244966816325489,9855
383,1244966916315634,1244966916325657,10023
384,1244967016315634,1244967016326708,11074
385,1244967116315634,1244967116326682,11048
386,1244967216315634,1244967216326747,11113
387,1244967316315634,1244967316325563,9929
388,1244967416315634,1244967416326420,10786
389,1244967516315634,1244967516325625,9991
390,1244967616315634,1244967616326335,10701
391,1244967716315634,1244967716327018,11384
392,1244967816315634,1244967816326407,10773
393,1244967916315634,1244967916325577,9943
394,1244968016315634,1244968016326640,11006
395,1244968116315634,1244968116326528,10894
396,1244968216315634,1244968216326352,10718
397,1244968316315634,1244968316326723,11089
398,1244968416315634,1244968416326011,10377
399,1244968516315634,1244968516325689,10055
400,1244968616315634,1244968616326618,10984
401,1244968716315634,1244968716325757,10123
402,1244968816315634,1244968816325490,9856
403,1244968916315634,1244968916325667,10033
404,1244969016315634,1244969016325675,10041
405,1244969116315634,1244969116326730,11096
406,1244969216315634,1244969216325427,9793
407,1244969316315634,1244969316325531,9897
408,1244969416315634,1244969416326128,10494
409,1244969516315634,1244969516325651,10017
410,1244969616315634,1244969616326425,10791
411,1244969716315634,1244969716326734,11100
412,1244969816315634,1244969816325448,9814
413,1244969916315634,1244969916325630,9996
414,1244970016315634,1244970016325442,9808
415,1244970116315634,1244970116324278,8644
416,1244970216315634,1244970216325596,9962
417,1244970316315634,1244970316326557,10923
418,1244970416315634,1244970416326806,11172
419,1244970516315634,1244970516325700,10066
420,1244970616315634,1244970616326703,11069
421,1244970716315634,1244970716326602,10968
422,1244970816315634,1244970816325555,9921
423,1244970916315634,1244970916325536,9902
424,1244971016315634,1244971016326634,11000
425,1244971116315634,1244971116325572,9938
426,1244971216315634,1244971216326335,10701
427,1244971316315634,1244971316325603,9969
428,1244971416315634,1244971416326168,10534
429,1244971516315634,1244971516325674,10040
430,1244971616315634,1244971616325683,10049
431,1244971716315634,1244971716326603,10969
432,1244971816315634,1244971816325477,9843
433,1244971916315634,1244971916326595,10961
434,1244972016315634,1244972016325542,9908
435,1244972116315634,1244972116326727,11093
436,1244972216315634,1244972216326886,11252
437,1244972316315634,1244972316326696,11062
438,1244972416315634,1244972416326862,11228
439,1244972516315634,1244972516325685,10051
440,1244972616315634,1244972616325563,9929
441,1244972716315634,1244972716326799,11165
442,1244972816315634,1244972816325684,10050
443,1244972916315634,1244972916325766,10132
444,1244973016315634,1244973016326750,11116
445,1244973116315634,1244973116325675,10041
446,1244973216315634,1244973216326765,11131
447,1244973316315634,1244973316325541,9907
448,1244973416315634,1244973416326048,10414
449,1244973516315634,1244973516325688,10054
450,1244973616315634,1244973616325451,9817
451,1244973716315634,1244973716326749,11115
452,1244973816315634,1244973816326365,10731
453,1244973916315634,1244973916326326,10692
454,1244974016315634,1244974016325495,9861
455,1244974116315634,1244974116326730,11096
456,1244974216315634,1244974216326623,10989
457,1244974316315634,1244974316326524,10890
458,1244974416315634,1244974416326940,11306
459,1244974516315634,1244974516325653,10019
460,1244974616315634,1244974616325443,9809
461,1244974716315634,1244974716326402,10768
462,1244974816315634,1244974816326280,10646
463,1244974916315634,1244974916325461,9827
464,1244975016315634,1244975016326645,11011
465,1244975116315634,1244975116325452,9818
466,1244975216315634,1244975216326733,11099
467,1244975316315634,1244975316325620,9986
468,1244975416315634,1244975416326176,10542
469,1244975516315634,1244975516325696,10062
470,1244975616315634,1244975616325558,9924
471,1244975716315634,1244975716326757,11123
472,1244975816315634,1244975816326439,10805
473,1244975916315634,1244975916325616,9982
474,1244976016315634,1244976016325454,9820
475,1244976116315634,1244976116326571,10937
476,1244976216315634,1244976216326726,11092
477,1244976316315634,1244976316326468,10834
478,1244976416315634,1244976416326902,11268
479,1244976516315634,1244976516325595,9961
480,1244976616315634,1244976616325425,9791
481,1244976716315634,1244976716326433,10799
482,1244976816315634,1244976816326351,10717
483,1244976916315634,1244976916325421,9787
484,1244977016315634,1244977016326787,11153
485,1244977116315634,1244977116325717,10083
486,1244977216315634,1244977216326572,10938
487,1244977316315634,1244977316326372,10738
488,1244977416315634,1244977416325844,10210
489,1244977516315634,1244977516325603,9969
490,1244977616315634,1244977616325630,9996
491,1244977716315634,1244977716326672,11038
492,1244977816315634,1244977816326543,10909
493,1244977916315634,1244977916326425,10791
494,1244978016315634,1244978016326440,10806
495,1244978116315634,1244978116326771,11137
496,1244978216315634,1244978216326499,10865
497,1244978316315634,1244978316326570,10936
498,1244978416315634,1244978416326835,11201
499,1244978516315634,1244978516325660,10026
